user_id,case_id,type,upload_times
3544,2908,字符串,6
3544,2172,线性表,4
3544,2179,数组,0
3544,2176,数组,4
3544,2307,数组,1
3544,2804,数组,2
3544,2908,字符串,6
3544,2456,数组,5
3544,2450,查找算法,2
48117,2081,字符串,6
48117,2180,字符串,26
48117,2190,字符串,16
48117,2177,字符串,1
48117,2892,字符串,15
48117,2188,字符串,17
48117,2199,字符串,51
48117,2198,字符串,39
48117,2164,字符串,5
48117,2531,字符串,2
48117,2894,字符串,4
48117,2530,字符串,7
48117,2200,字符串,13
48117,2908,字符串,43
48117,2936,字符串,33
48117,2474,线性表,2
48117,2173,线性表,1
48117,2171,线性表,5
48117,2647,线性表,1
48117,2548,线性表,28
48117,2547,线性表,1
48117,2589,线性表,2
48117,2169,线性表,10
48117,2145,线性表,1
48117,2607,线性表,7
48117,2629,线性表,7
48117,2561,线性表,1
48117,2186,线性表,1
48117,2142,线性表,4
48117,2185,线性表,1
48117,2482,线性表,2
48117,2141,线性表,2
48117,2184,线性表,1
48117,2140,线性表,6
48117,2183,线性表,2
48117,2182,线性表,8
48117,2181,线性表,10
48117,2614,线性表,2
48117,2558,线性表,4
48117,2610,线性表,8
48117,2212,线性表,2
48117,2618,线性表,4
48117,2617,线性表,5
48117,2615,线性表,4
48117,2176,数组,14
48117,2494,数组,1
48117,2373,数组,9
48117,2252,数组,7
48117,2395,数组,8
48117,2394,数组,2
48117,2371,数组,3
48117,2392,数组,1
48117,2701,数组,1
48117,2426,数组,1
48117,2425,数组,3
48117,2424,数组,1
48117,2203,数组,11
48117,2467,数组,2
48117,2346,数组,10
48117,2423,数组,1
48117,2466,数组,4
48117,2345,数组,6
48117,2389,数组,9
48117,2344,数组,6
48117,2388,数组,1
48117,2442,数组,1
48117,2209,数组,9
48117,2307,数组,4
48117,2527,数组,16
48117,2342,数组,16
48117,2386,数组,4
48117,2341,数组,6
48117,2340,数组,1
48117,2283,数组,1
48117,2061,数组,1
48117,2280,数组,2
48117,2438,数组,1
48117,2339,数组,32
48117,2338,数组,3
48117,2359,数组,1
48117,2358,数组,6
48117,2357,数组,2
48117,2356,数组,10
48117,2279,数组,2
48117,2179,数组,1
48117,2498,数组,1
48117,2278,数组,2
48117,2211,数组,25
48117,2718,数组,13
48117,2463,查找算法,3
48117,2451,查找算法,3
48117,2462,查找算法,11
48117,2450,查找算法,19
48117,2461,查找算法,1
48117,2537,查找算法,10
48117,2449,查找算法,4
48117,2514,查找算法,1
48117,2445,查找算法,3
48117,2741,查找算法,2
48117,2542,查找算法,1
48117,2454,查找算法,4
48117,2465,查找算法,4
48117,2453,查找算法,1
48117,2464,查找算法,5
48117,2506,查找算法,23
48117,2505,查找算法,3
48117,2535,排序算法,1
48117,2534,排序算法,1
48117,2412,排序算法,13
48117,2444,排序算法,3
48117,2387,排序算法,4
48117,2441,排序算法,1
48117,2396,排序算法,4
48117,2440,排序算法,1
48117,2152,排序算法,9
48117,2490,排序算法,1
48117,2070,数字操作,8
48117,2111,数字操作,5
48117,2099,数字操作,4
48117,2110,数字操作,1
48117,2153,数字操作,4
48117,2098,数字操作,8
48117,2097,数字操作,14
48117,2096,数字操作,1
48117,2095,数字操作,1
48117,2094,数字操作,1
48117,2093,数字操作,1
48117,2108,数字操作,1
48117,2106,数字操作,3
48117,2127,数字操作,1
48117,2105,数字操作,2
48117,2069,数字操作,3
48117,2068,数字操作,1
48117,2109,数字操作,2
48117,2067,数字操作,4
48117,2584,数字操作,1
48117,2100,数字操作,1
48117,2122,数字操作,1
48117,2121,数字操作,8
48117,2065,数字操作,3
48117,2120,数字操作,1
48117,2064,数字操作,1
48117,2063,数字操作,1
48117,2117,数字操作,1
48117,2116,数字操作,7
48117,2114,数字操作,3
48117,2113,数字操作,2
48117,2134,数字操作,1
48117,2080,图结构,10
48117,2088,图结构,16
48117,2087,图结构,21
48117,2086,图结构,5
48117,2085,图结构,12
48117,2084,图结构,13
49405,2081,字符串,2
49405,2180,字符串,1
49405,2190,字符串,2
49405,2177,字符串,1
49405,2892,字符串,1
49405,2188,字符串,1
49405,2199,字符串,2
49405,2198,字符串,1
49405,2164,字符串,1
49405,2196,字符串,2
49405,2531,字符串,1
49405,2894,字符串,1
49405,2530,字符串,1
49405,2178,字符串,2
49405,2200,字符串,4
49405,2908,字符串,6
49405,2936,字符串,4
49405,2474,线性表,6
49405,2592,线性表,7
49405,2173,线性表,3
49405,2172,线性表,9
49405,2171,线性表,3
49405,2647,线性表,1
49405,2548,线性表,2
49405,2547,线性表,4
49405,2589,线性表,1
49405,2169,线性表,5
49405,2145,线性表,2
49405,2607,线性表,1
49405,2629,线性表,13
49405,2561,线性表,3
49405,2186,线性表,3
49405,2142,线性表,3
49405,2185,线性表,2
49405,2482,线性表,2
49405,2141,线性表,2
49405,2184,线性表,2
49405,2140,线性表,1
49405,2183,线性表,5
49405,2182,线性表,1
49405,2181,线性表,6
49405,2614,线性表,1
49405,2558,线性表,3
49405,2610,线性表,1
49405,2212,线性表,2
49405,2618,线性表,1
49405,2617,线性表,1
49405,2615,线性表,2
49405,2176,数组,3
49405,2494,数组,1
49405,2373,数组,2
49405,2252,数组,2
49405,2395,数组,2
49405,2394,数组,2
49405,2371,数组,1
49405,2392,数组,1
49405,2193,数组,2
49405,2701,数组,1
49405,2426,数组,1
49405,2425,数组,5
49405,2424,数组,1
49405,2203,数组,12
49405,2467,数组,1
49405,2346,数组,1
49405,2423,数组,9
49405,2466,数组,1
49405,2345,数组,1
49405,2389,数组,1
49405,2344,数组,1
49405,2388,数组,1
49405,2442,数组,2
49405,2209,数组,4
49405,2307,数组,1
49405,2527,数组,3
49405,2342,数组,1
49405,2386,数组,27
49405,2341,数组,1
49405,2340,数组,1
49405,2283,数组,2
49405,2061,数组,1
49405,2280,数组,1
49405,2438,数组,1
49405,2339,数组,1
49405,2338,数组,2
49405,2359,数组,1
49405,2358,数组,1
49405,2357,数组,1
49405,2356,数组,1
49405,2279,数组,1
49405,2179,数组,1
49405,2498,数组,1
49405,2278,数组,1
49405,2211,数组,1
49405,2718,数组,3
49405,2397,查找算法,2
49405,2463,查找算法,4
49405,2451,查找算法,7
49405,2462,查找算法,2
49405,2450,查找算法,3
49405,2461,查找算法,1
49405,2174,查找算法,3
49405,2537,查找算法,5
49405,2449,查找算法,3
49405,2514,查找算法,7
49405,2445,查找算法,6
49405,2115,查找算法,1
49405,2741,查找算法,1
49405,2542,查找算法,2
49405,2454,查找算法,1
49405,2465,查找算法,8
49405,2453,查找算法,1
49405,2464,查找算法,1
49405,2506,查找算法,6
49405,2505,查找算法,1
49405,2535,排序算法,1
49405,2534,排序算法,1
49405,2412,排序算法,1
49405,2444,排序算法,1
49405,2387,排序算法,1
49405,2441,排序算法,1
49405,2396,排序算法,5
49405,2440,排序算法,3
49405,2152,排序算法,2
49405,2490,排序算法,1
49405,2390,排序算法,2
49405,2070,数字操作,32
49405,2111,数字操作,4
49405,2099,数字操作,1
49405,2110,数字操作,1
49405,2153,数字操作,5
